agency,year,budget
Federal Maritime Commission,1987,11947
Federal Maritime Commission,1988,13585
Federal Maritime Commission,1989,13585
Federal Maritime Commission,1990,15452
Federal Maritime Commission,1991,15894
Federal Maritime Commission,1992,17600
Federal Maritime Commission,1993,18300
Federal Maritime Commission,1994,18693
Federal Maritime Commission,1995,20000
Federal Maritime Commission,1996,15000
Federal Maritime Commission,1997,14000
Federal Maritime Commission,1998,13000
Federal Maritime Commission,1999,12000
Federal Maritime Commission,2000,15000
Federal Maritime Commission,2001,15000
Federal Maritime Commission,2002,16000
Federal Maritime Commission,2003,16000
Federal Maritime Commission,2004,18000
Federal Maritime Commission,2005,18000
Federal Maritime Commission,2006,19000
Federal Maritime Commission,2007,19000
Federal Maritime Commission,2008,22000
Federal Maritime Commission,2009,23000
Federal Maritime Commission,2010,24000
Federal Maritime Commission,2011,24000
Federal Maritime Commission,2012,24000
Federal Maritime Commission,2013,23000
Federal Maritime Commission,2014,25000
Federal Maritime Commission,2015,25000
Federal Maritime Commission,2016,26000
Federal Maritime Commission,2017,27000
Federal Maritime Commission,2018,27000
Federal Maritime Commission,2019,27000
Federal Maritime Commission,2020,28000
Federal Mediation and Conciliation Service,1976,0
Federal Mediation and Conciliation Service,1977,21177
Federal Mediation and Conciliation Service,1978,22465
Federal Mediation and Conciliation Service,1979,23214
Federal Mediation and Conciliation Service,1980,23820
Federal Mediation and Conciliation Service,1981,25919
Federal Mediation and Conciliation Service,1982,24552
Federal Mediation and Conciliation Service,1983,22015
Federal Mediation and Conciliation Service,1984,23258
Federal Mediation and Conciliation Service,1985,23845
Federal Mediation and Conciliation Service,1986,22388
Federal Mediation and Conciliation Service,1987,23892
Federal Mediation and Conciliation Service,1988,24510
Federal Mediation and Conciliation Service,1989,25813
Federal Mediation and Conciliation Service,1990,26554
Federal Mediation and Conciliation Service,1991,27037
Federal Mediation and Conciliation Service,1992,28118
Federal Mediation and Conciliation Service,1993,29953
Federal Mediation and Conciliation Service,1994,30241
Federal Mediation and Conciliation Service,1995,31000
Federal Mediation and Conciliation Service,1996,33000
Federal Mediation and Conciliation Service,1997,33000
Federal Mediation and Conciliation Service,1998,33000
Federal Mediation and Conciliation Service,1999,35000
Federal Mediation and Conciliation Service,2000,37000
Federal Mediation and Conciliation Service,2001,38000
Federal Mediation and Conciliation Service,2002,40000
Federal Mediation and Conciliation Service,2003,41000
Federal Mediation and Conciliation Service,2004,43000
Federal Mediation and Conciliation Service,2005,45000
Federal Mediation and Conciliation Service,2006,43000
Federal Mediation and Conciliation Service,2007,42000
Federal Mediation and Conciliation Service,2008,43000
Federal Mediation and Conciliation Service,2009,45000
Federal Mediation and Conciliation Service,2010,47000
Federal Mediation and Conciliation Service,2011,47000
Federal Mediation and Conciliation Service,2012,46000
Federal Mediation and Conciliation Service,2013,44000
Federal Mediation and Conciliation Service,2014,45000
Federal Mediation and Conciliation Service,2015,46000
Federal Mediation and Conciliation Service,2016,49000
Federal Mediation and Conciliation Service,2017,50000
Federal Mediation and Conciliation Service,2018,51000
Federal Mediation and Conciliation Service,2019,51000
Federal Mediation and Conciliation Service,2020,52000
Federal Mine Safety and Health Review Commission,1976,0
Federal Mine Safety and Health Review Commission,1977,0
Federal Mine Safety and Health Review Commission,1978,1185
Federal Mine Safety and Health Review Commission,1979,4776
Federal Mine Safety and Health Review Commission,1980,4582
Federal Mine Safety and Health Review Commission,1981,4344
Federal Mine Safety and Health Review Commission,1982,3544
Federal Mine Safety and Health Review Commission,1983,3686
Federal Mine Safety and Health Review Commission,1984,3858
Federal Mine Safety and Health Review Commission,1985,3837
Federal Mine Safety and Health Review Commission,1986,3651
Federal Mine Safety and Health Review Commission,1987,3785
Federal Mine Safety and Health Review Commission,1988,3906
Federal Mine Safety and Health Review Commission,1989,4030
Federal Mine Safety and Health Review Commission,1990,4030
Federal Mine Safety and Health Review Commission,1991,4189
Federal Mine Safety and Health Review Commission,1992,5143
Federal Mine Safety and Health Review Commission,1993,5726
Federal Mine Safety and Health Review Commission,1994,5842
Federal Mine Safety and Health Review Commission,1995,6000
Federal Mine Safety and Health Review Commission,1996,6000
Federal Mine Safety and Health Review Commission,1997,6000
Federal Mine Safety and Health Review Commission,1998,6000
Federal Mine Safety and Health Review Commission,1999,6000
Federal Mine Safety and Health Review Commission,2000,6000
Federal Mine Safety and Health Review Commission,2001,6000
Federal Mine Safety and Health Review Commission,2002,7000
Federal Mine Safety and Health Review Commission,2003,7000
Federal Mine Safety and Health Review Commission,2004,8000
Federal Mine Safety and Health Review Commission,2005,8000
Federal Mine Safety and Health Review Commission,2006,8000
Federal Mine Safety and Health Review Commission,2007,8000
Federal Mine Safety and Health Review Commission,2008,8000
Federal Mine Safety and Health Review Commission,2009,9000
Federal Mine Safety and Health Review Commission,2010,14000
Federal Mine Safety and Health Review Commission,2011,10000
Federal Mine Safety and Health Review Commission,2012,18000
Federal Mine Safety and Health Review Commission,2013,17000
Federal Mine Safety and Health Review Commission,2014,16000
Federal Mine Safety and Health Review Commission,2015,17000
Federal Mine Safety and Health Review Commission,2016,17000
Federal Mine Safety and Health Review Commission,2017,17000
Federal Mine Safety and Health Review Commission,2018,18000
Federal Mine Safety and Health Review Commission,2019,18000
Federal Mine Safety and Health Review Commission,2020,18000
Federal Retirement Thrift Investment Board,1976,0
Federal Retirement Thrift Investment Board,1977,0
Federal Retirement Thrift Investment Board,1978,0
Federal Retirement Thrift Investment Board,1979,0
Federal Retirement Thrift Investment Board,1980,0
Federal Retirement Thrift Investment Board,1981,0
Federal Retirement Thrift Investment Board,1982,0
Federal Retirement Thrift Investment Board,1983,0
Federal Retirement Thrift Investment Board,1984,0
Federal Retirement Thrift Investment Board,1985,0
Federal Retirement Thrift Investment Board,1986,250
Federal Retirement Thrift Investment Board,1987,154750
Federal Retirement Thrift Investment Board,1988,1000
Federal Retirement Thrift Investment Board,1989,15742
Federal Retirement Thrift Investment Board,1990,571
Federal Retirement Thrift Investment Board,1991,0
Federal Retirement Thrift Investment Board,1992,0
Federal Retirement Thrift Investment Board,1993,250
Federal Retirement Thrift Investment Board,1994,0
Federal Retirement Thrift Investment Board,1995,0
Federal Retirement Thrift Investment Board,1996,0
Federal Retirement Thrift Investment Board,1997,0
Federal Retirement Thrift Investment Board,1998,0
Federal Retirement Thrift Investment Board,1999,0
Federal Retirement Thrift Investment Board,2000,0
Federal Retirement Thrift Investment Board,2001,0
Federal Retirement Thrift Investment Board,2002,0
Federal Retirement Thrift Investment Board,2003,0
Federal Retirement Thrift Investment Board,2004,0
Federal Retirement Thrift Investment Board,2005,0
Federal Retirement Thrift Investment Board,2006,0
Federal Retirement Thrift Investment Board,2007,0
Federal Retirement Thrift Investment Board,2008,0
Federal Retirement Thrift Investment Board,2009,0
Federal Retirement Thrift Investment Board,2010,0
Federal Retirement Thrift Investment Board,2011,0
Federal Retirement Thrift Investment Board,2012,0
Federal Retirement Thrift Investment Board,2013,0
Federal Retirement Thrift Investment Board,2014,0
Federal Retirement Thrift Investment Board,2015,-2000
Federal Retirement Thrift Investment Board,2016,-1000
Federal Retirement Thrift Investment Board,2017,0
Federal Retirement Thrift Investment Board,2018,0
Federal Retirement Thrift Investment Board,2019,0
Federal Retirement Thrift Investment Board,2020,0
Federal Trade Commission,1976,0
Federal Trade Commission,1977,54680
Federal Trade Commission,1978,62100
Federal Trade Commission,1979,65300
Federal Trade Commission,1980,66059
Federal Trade Commission,1981,70774
Federal Trade Commission,1982,68774
Federal Trade Commission,1983,66871
Federal Trade Commission,1984,64150
Federal Trade Commission,1985,69572
Federal Trade Commission,1986,62683
Federal Trade Commission,1987,65000
Federal Trade Commission,1988,66243
Federal Trade Commission,1989,66243
Federal Trade Commission,1990,56376
Federal Trade Commission,1991,62844
Federal Trade Commission,1992,68880
Federal Trade Commission,1993,66050
Federal Trade Commission,1994,63866
Federal Trade Commission,1995,36000
Federal Trade Commission,1996,35000
Federal Trade Commission,1997,26000
Federal Trade Commission,1998,-3000
Federal Trade Commission,1999,20000
Federal Trade Commission,2000,42000
Federal Trade Commission,2001,51000
Federal Trade Commission,2002,85000
Federal Trade Commission,2003,101000
Federal Trade Commission,2004,68000
Federal Trade Commission,2005,70000
Federal Trade Commission,2006,55000
Federal Trade Commission,2007,49000
Federal Trade Commission,2008,55000
Federal Trade Commission,2009,202000
Federal Trade Commission,2010,198000
Federal Trade Commission,2011,173000
Federal Trade Commission,2012,195000
Federal Trade Commission,2013,185000
Federal Trade Commission,2014,161000
Federal Trade Commission,2015,174000
Federal Trade Commission,2016,192000
