agency,year,budget
General Services Administration,1983,811941
General Services Administration,1984,640778
General Services Administration,1985,738294
General Services Administration,1986,779183
General Services Administration,1987,578582
General Services Administration,1988,244143
General Services Administration,1989,32613
General Services Administration,1990,2870665
General Services Administration,1991,1901636
General Services Administration,1992,304125
General Services Administration,1993,536620
General Services Administration,1994,546391
General Services Administration,1995,81000
General Services Administration,1996,77000
General Services Administration,1997,374000
General Services Administration,1998,1000
General Services Administration,1999,233000
General Services Administration,2000,-304000
General Services Administration,2001,161000
General Services Administration,2002,237000
General Services Administration,2003,1348000
General Services Administration,2004,21000
General Services Administration,2005,297000
General Services Administration,2006,722000
General Services Administration,2007,89000
General Services Administration,2008,340000
General Services Administration,2009,6290000
General Services Administration,2010,261000
General Services Administration,2011,-1009000
General Services Administration,2012,-977000
General Services Administration,2013,-1255000
General Services Administration,2014,1932000
General Services Administration,2015,-482000
General Services Administration,2016,787000
General Services Administration,2017,225000
General Services Administration,2018,231000
General Services Administration,2019,233000
General Services Administration,2020,238000
Department of Homeland Security,1976,84
Department of Homeland Security,1977,2881063
Department of Homeland Security,1978,3313972
Department of Homeland Security,1979,3968927
Department of Homeland Security,1980,4424074
Department of Homeland Security,1981,3971203
Department of Homeland Security,1982,4563288
Department of Homeland Security,1983,4981368
Department of Homeland Security,1984,5231003
Department of Homeland Security,1985,5055729
Department of Homeland Security,1986,5139009
Department of Homeland Security,1987,5927498
Department of Homeland Security,1988,6152314
Department of Homeland Security,1989,7109871
Department of Homeland Security,1990,7291653
Department of Homeland Security,1991,6574187
Department of Homeland Security,1992,11158180
Department of Homeland Security,1993,9090905
Department of Homeland Security,1994,12475535
Department of Homeland Security,1995,11442000
Department of Homeland Security,1996,11667000
Department of Homeland Security,1997,13189000
Department of Homeland Security,1998,11243000
Department of Homeland Security,1999,13042000
Department of Homeland Security,2000,13840000
Department of Homeland Security,2001,16400000
Department of Homeland Security,2002,30570000
Department of Homeland Security,2003,30844000
Department of Homeland Security,2004,31650000
Department of Homeland Security,2005,100689000
Department of Homeland Security,2006,32285000
Department of Homeland Security,2007,39702000
Department of Homeland Security,2008,50624000
Department of Homeland Security,2009,46001000
Department of Homeland Security,2010,45423000
Department of Homeland Security,2011,41648000
Department of Homeland Security,2012,45911000
Department of Homeland Security,2013,61873000
Department of Homeland Security,2014,44146000
Department of Homeland Security,2015,44000000
Department of Homeland Security,2016,47996000
Department of Homeland Security,2017,41474000
Department of Homeland Security,2018,41877000
Department of Homeland Security,2019,42260000
Department of Homeland Security,2020,42651000
Department of Housing and Urban Development,1976,352
Department of Housing and Urban Development,1977,33818359
Department of Housing and Urban Development,1978,37993504
Department of Housing and Urban Development,1979,31141970
Department of Housing and Urban Development,1980,35851607
Department of Housing and Urban Development,1981,34220255
Department of Housing and Urban Development,1982,20910788
Department of Housing and Urban Development,1983,16561165
Department of Housing and Urban Development,1984,18148238
Department of Housing and Urban Development,1985,31397896
Department of Housing and Urban Development,1986,15927576
Department of Housing and Urban Development,1987,14656832
Department of Housing and Urban Development,1988,14949018
Department of Housing and Urban Development,1989,14346570
Department of Housing and Urban Development,1990,17314630
Department of Housing and Urban Development,1991,27634180
Department of Housing and Urban Development,1992,24965535
Department of Housing and Urban Development,1993,26468253
Department of Housing and Urban Development,1994,26322384
Department of Housing and Urban Development,1995,19800000
Department of Housing and Urban Development,1996,20821000
Department of Housing and Urban Development,1997,16091000
Department of Housing and Urban Development,1998,20976000
Department of Housing and Urban Development,1999,26303000
Department of Housing and Urban Development,2000,24277000
Department of Housing and Urban Development,2001,32296000
Department of Housing and Urban Development,2002,34481000
Department of Housing and Urban Development,2003,34371000
Department of Housing and Urban Development,2004,35077000
Department of Housing and Urban Development,2005,35029000
Department of Housing and Urban Development,2006,52405000
Department of Housing and Urban Development,2007,35364000
Department of Housing and Urban Development,2008,50930000
Department of Housing and Urban Development,2009,61810000
Department of Housing and Urban Development,2010,45075000
Department of Housing and Urban Development,2011,48528000
Department of Housing and Urban Development,2012,40115000
Department of Housing and Urban Development,2013,68969000
Department of Housing and Urban Development,2014,42676000
Department of Housing and Urban Development,2015,43836000
Department of Housing and Urban Development,2016,48350000
Department of Housing and Urban Development,2017,49015000
Department of Housing and Urban Development,2018,49947000
