word,date,matches,freq
his,1798,147905,0.006930489
his,1799,207020,0.007492969
his,1800,309954,0.007096948
his,1801,446499,0.006746033
his,1802,356596,0.007233351
his,1803,478617,0.006983849
his,1804,695687,0.008174959
his,1805,524427,0.007197824
his,1806,730757,0.008022064
his,1807,685454,0.007532621
his,1808,784469,0.007289356
his,1809,700402,0.006512974
his,1810,857593,0.007544098
his,1811,989384,0.007322696
his,1812,981698,0.007607223
his,1813,812380,0.007790073
his,1814,904033,0.007433024
his,1815,845313,0.007084484
his,1816,1049768,0.007660658
his,1817,993157,0.007015305
his,1818,954427,0.006466538
his,1819,815619,0.00626668
his,1820,1360364,0.007637663
his,1821,1110435,0.007433938
his,1822,1528544,0.006939817
his,1823,1506295,0.0071921
his,1824,1875132,0.007420281
his,1825,1992826,0.007786407
his,1826,1565379,0.007618838
his,1827,1596441,0.007370722
his,1828,1542262,0.00684601
his,1829,1609596,0.006855204
his,1830,2179225,0.007240579
his,1831,1873564,0.006853809
his,1832,1847369,0.007006241
his,1833,1784906,0.006860113
his,1834,1872330,0.006891721
his,1835,2025071,0.006606174
his,1836,2238727,0.007005426
his,1837,2030330,0.0069858
his,1838,2009669,0.006586114
his,1839,2477227,0.006829883
his,1840,2523128,0.007010557
his,1841,2176453,0.006696094
his,1842,1940352,0.006432967
his,1843,2245560,0.006575103
his,1844,2650321,0.006762971
his,1845,2579415,0.006789552
his,1846,2811278,0.006928293
his,1847,2590838,0.00695369
his,1848,2729699,0.006667688
his,1849,2859038,0.006872932
his,1850,2862403,0.006733514
his,1851,3024102,0.006639799
his,1852,3098352,0.006343222
his,1853,3756820,0.006799089
his,1854,3934017,0.006664411
his,1855,3164053,0.006318161
his,1856,3616614,0.006646787
his,1857,3485933,0.006953762
his,1858,3049100,0.006547451
his,1859,3361802,0.006528011
his,1860,3366774,0.00638765
his,1861,2404190,0.006221464
his,1862,2104240,0.005855708
his,1863,2201623,0.006291516
his,1864,2675040,0.006340736
his,1865,2614847,0.006196348
his,1866,2766002,0.006034668
his,1867,2694122,0.005983714
his,1868,2703936,0.005951424
his,1869,3038759,0.006072351
his,1870,2562528,0.005672996
his,1871,2812939,0.0057542
his,1872,2858862,0.005681559
his,1873,2888230,0.005551433
his,1874,3245178,0.005640836
his,1875,3473756,0.005777609
his,1876,3337857,0.005544622
his,1877,3244741,0.005651835
his,1878,2955880,0.005485891
his,1879,3265008,0.005652459
his,1880,4001425,0.005850034
his,1881,3862970,0.005616746
his,1882,4156175,0.005726317
his,1883,4244806,0.005617747
his,1884,4087359,0.005512822
his,1885,4001232,0.005572116
his,1886,3840168,0.005459051
his,1887,4072312,0.005692768
his,1888,4196379,0.00563637
his,1889,3914758,0.005397324
his,1890,4041423,0.005655894
his,1891,3961318,0.005503963
his,1892,3968248,0.005494856
his,1893,3768150,0.005454343
his,1894,3863657,0.005564977
his,1895,3593867,0.005495793
his,1896,3815660,0.005672201
his,1897,3776674,0.005583837
his,1898,3690141,0.005436602
his,1899,3703947,0.005604626
his,1900,3815822,0.005750021
his,1901,3809139,0.005586419
his,1902,3707077,0.005557387
his,1903,3439519,0.005282555
his,1904,3559203,0.005353861
his,1905,3180319,0.004809693
his,1906,3361319,0.005130258
his,1907,3321993,0.005067301
his,1908,3203258,0.004952471
his,1909,3102204,0.004799728
his,1910,3228699,0.00497259
his,1911,3005088,0.004739752
his,1912,2952200,0.004779999
his,1913,2771295,0.004482536
his,1914,2776113,0.004673781
his,1915,2490798,0.00435175
his,1916,2347729,0.0041995
his,1917,2396302,0.004344324
his,1918,2169339,0.00406438
his,1919,2428356,0.004294508
his,1920,2556330,0.004296771
his,1921,2648371,0.004328868
his,1922,2624102,0.004319017
his,1923,2944770,0.004734314
his,1924,2758406,0.00454191
his,1925,2925162,0.004834318
his,1926,2848162,0.004791695
his,1927,2958154,0.004783495
his,1928,2787955,0.004715553
his,1929,2960465,0.00493258
his,1930,2935112,0.004828302
his,1931,2851920,0.004585015
his,1932,2991164,0.004746043
his,1933,2835358,0.00471294
his,1934,2827065,0.004656259
his,1935,3067146,0.004847431
his,1936,2845618,0.004600688
his,1937,2850219,0.004478083
his,1938,2714516,0.004235902
his,1939,2709301,0.004136649
his,1940,2570787,0.003955497
his,1941,2525676,0.003946485
his,1942,2561936,0.003953105
his,1943,2450374,0.003902227
his,1944,2379261,0.003895765
his,1945,2475696,0.003947299
his,1946,2741115,0.004366824
his,1947,2784327,0.004262387
his,1948,2674301,0.004064181
his,1949,2672991,0.004029588
his,1950,2653430,0.004001636
his,1951,2709544,0.003955455
his,1952,2852668,0.004013606
his,1953,2598224,0.003888942
his,1954,2626128,0.003887573
his,1955,2725404,0.004034847
his,1956,2765709,0.004024301
his,1957,2684691,0.0040399
his,1958,2600099,0.003839374
his,1959,2473357,0.003836382
his,1960,2487705,0.003742709
his,1961,2434678,0.00374424
his,1962,2584317,0.003828552
his,1963,2492986,0.00383298
his,1964,2329805,0.003621837
his,1965,2401879,0.003638893
his,1966,2419723,0.003714217
his,1967,2483235,0.003838335
his,1968,2523117,0.00390748
his,1969,2438426,0.003898989
his,1970,2433243,0.00381613
his,1971,2185748,0.003483106
his,1972,2108867,0.003405637
his,1973,2168589,0.003351834
his,1974,2101745,0.003315772
his,1975,1866188,0.003120444
his,1976,1960510,0.003073575
his,1977,1923073,0.003102016
his,1978,1896515,0.003045342
his,1979,1882278,0.002925667
his,1980,1950504,0.002933736
his,1981,1953958,0.002891221
his,1982,1920278,0.002891872
his,1983,1927655,0.002809903
his,1984,1895501,0.00277636
his,1985,1897803,0.002790543
his,1986,1852991,0.002650611
his,1987,1854363,0.002701681
his,1988,1890370,0.002719549
his,1989,1889274,0.002766562
his,1990,1821879,0.002684926
his,1991,1860103,0.002716195
his,1992,1885418,0.002652359
his,1993,1991085,0.002750306
his,1994,1843513,0.00262302
his,1995,1896442,0.002566436
his,1996,2022835,0.002663852
his,1997,1834807,0.002506964
his,1998,1865809,0.002534328
his,1999,1926939,0.002613543
his,2000,2026198,0.002762624
his,2001,2034329,0.002718267
his,2002,1979866,0.002808045
his,2003,1933342,0.00283818
his,2004,2159204,0.003203606
his,2005,2088380,0.00313232
his,2006,2240160,0.003265779
his,2007,2505387,0.003683519
his,2008,2589115,0.004614462
holds,1701,43,3.45E-05
holds,1702,12,1.06E-05
holds,1703,20,1.15E-05
holds,1704,31,4.22E-05
holds,1705,47,2.89E-05
holds,1706,17,1.88E-05
holds,1707,44,4.24E-05
holds,1708,13,1.07E-05
holds,1709,9,2.72E-05
holds,1710,23,1.39E-05
holds,1711,19,1.29E-05
holds,1712,2,5.88E-06
holds,1713,32,3.73E-05
holds,1714,49,2.62E-05
holds,1715,37,3.06E-05
holds,1716,27,3.49E-05
holds,1717,32,2.62E-05
holds,1718,26,1.71E-05
holds,1719,30,1.56E-05
holds,1720,62,3.07E-05
holds,1721,36,2.25E-05
holds,1722,37,2.50E-05
holds,1723,16,1.15E-05
holds,1724,26,1.49E-05
holds,1725,30,1.41E-05
holds,1726,65,1.89E-05
holds,1727,94,2.22E-05
holds,1728,53,1.48E-05
holds,1729,78,1.90E-05
holds,1730,94,2.41E-05
holds,1731,76,1.73E-05
holds,1732,58,1.53E-05
holds,1733,22,1.59E-05
holds,1734,50,1.72E-05
holds,1735,79,2.70E-05
holds,1736,80,4.24E-05
holds,1737,47,1.79E-05
holds,1738,55,1.68E-05
holds,1739,100,1.35E-05
holds,1740,61,1.79E-05
holds,1741,38,1.48E-05
holds,1742,104,2.66E-05
holds,1743,64,1.53E-05
holds,1744,167,3.38E-05
holds,1745,124,2.92E-05
holds,1746,60,2.71E-05
holds,1747,227,1.75E-05
holds,1748,127,2.85E-05
holds,1749,127,2.12E-05
holds,1750,133,1.58E-05
holds,1751,103,1.57E-05
holds,1752,115,2.12E-05
